Time,Series,Value
2021-05-23T02:00:00+02:00,Sokets plug,3.25
2021-05-23T02:00:00+02:00,Lighting,4.125
2021-05-23T02:00:00+02:00,Other electricity,0
2021-05-23T02:00:00+02:00,Cooling,9.75
2021-05-23T02:00:00+02:00,Heating,3.5
2021-05-23T03:00:00+02:00,Ventilation,7
2021-05-23T03:00:00+02:00,Sokets plug,16.875
2021-05-23T03:00:00+02:00,Lighting,5.563
2021-05-23T03:00:00+02:00,Other electricity,77.688
2021-05-23T03:00:00+02:00,Cooling,10.875
2021-05-23T03:00:00+02:00,Heating,6.75
2021-05-23T04:00:00+02:00,Ventilation,7
2021-05-23T04:00:00+02:00,Sokets plug,4.75
2021-05-23T04:00:00+02:00,Lighting,0.313
2021-05-23T04:00:00+02:00,Other electricity,67.438
2021-05-23T04:00:00+02:00,Cooling,0
2021-05-23T04:00:00+02:00,Heating,3.5
2021-05-23T05:00:00+02:00,Ventilation,8
2021-05-23T05:00:00+02:00,Sokets plug,13.063
2021-05-23T05:00:00+02:00,Lighting,8.25
2021-05-23T05:00:00+02:00,Other electricity,77.188
2021-05-23T05:00:00+02:00,Cooling,19
2021-05-23T05:00:00+02:00,Heating,11.5
2021-05-23T06:00:00+02:00,Ventilation,10.625
2021-05-23T06:00:00+02:00,Sokets plug,12.625
2021-05-23T06:00:00+02:00,Lighting,8.5
2021-05-23T06:00:00+02:00,Other electricity,64.25
2021-05-23T06:00:00+02:00,Cooling,28.5
2021-05-23T06:00:00+02:00,Heating,12
2021-05-23T07:00:00+02:00,Ventilation,3.375
2021-05-23T07:00:00+02:00,Sokets plug,8.938
2021-05-23T07:00:00+02:00,Lighting,5.25
2021-05-23T07:00:00+02:00,Other electricity,87.438
2021-05-23T07:00:00+02:00,Cooling,16.5
2021-05-23T07:00:00+02:00,Heating,11.5
2021-05-23T08:00:00+02:00,Ventilation,9
2021-05-23T08:00:00+02:00,Sokets plug,14.438
2021-05-23T08:00:00+02:00,Lighting,7.125
2021-05-23T08:00:00+02:00,Other electricity,71.438
2021-05-23T08:00:00+02:00,Cooling,20.5
2021-05-23T08:00:00+02:00,Heating,90.25
2021-05-23T09:00:00+02:00,Ventilation,10.625
2021-05-23T09:00:00+02:00,Sokets plug,12
2021-05-23T09:00:00+02:00,Lighting,6.813
2021-05-23T09:00:00+02:00,Other electricity,81.938
2021-05-23T09:00:00+02:00,Cooling,19.125
2021-05-23T09:00:00+02:00,Heating,5.75
2021-05-23T10:00:00+02:00,Ventilation,6.5
2021-05-23T10:00:00+02:00,Sokets plug,15.063
2021-05-23T10:00:00+02:00,Lighting,7.063
2021-05-23T10:00:00+02:00,Other electricity,75.25
2021-05-23T10:00:00+02:00,Cooling,24.625
2021-05-23T10:00:00+02:00,Heating,6
2021-05-23T11:00:00+02:00,Ventilation,10.375
2021-05-23T11:00:00+02:00,Sokets plug,18.563
2021-05-23T11:00:00+02:00,Lighting,10.625
2021-05-23T11:00:00+02:00,Other electricity,63.625
2021-05-23T11:00:00+02:00,Cooling,18.313
2021-05-23T11:00:00+02:00,Heating,6.5
2021-05-23T12:00:00+02:00,Ventilation,5
2021-05-23T12:00:00+02:00,Sokets plug,20
2021-05-23T12:00:00+02:00,Lighting,6.063
2021-05-23T12:00:00+02:00,Other electricity,75
2021-05-23T12:00:00+02:00,Cooling,17.938
2021-05-23T12:00:00+02:00,Heating,6
2021-05-23T13:00:00+02:00,Ventilation,10.75
2021-05-23T13:00:00+02:00,Sokets plug,23.25
2021-05-23T13:00:00+02:00,Lighting,6.188
2021-05-23T13:00:00+02:00,Other electricity,62.438
2021-05-23T13:00:00+02:00,Cooling,26.875
2021-05-23T13:00:00+02:00,Heating,6.25
2021-05-23T14:00:00+02:00,Ventilation,8.25
2021-05-23T14:00:00+02:00,Sokets plug,25.313
2021-05-23T14:00:00+02:00,Lighting,8.813
2021-05-23T14:00:00+02:00,Other electricity,52.125
2021-05-23T14:00:00+02:00,Cooling,20
2021-05-23T14:00:00+02:00,Heating,6.25
2021-05-23T15:00:00+02:00,Ventilation,9
2021-05-23T15:00:00+02:00,Sokets plug,20.563
2021-05-23T15:00:00+02:00,Lighting,8.375
2021-05-23T15:00:00+02:00,Other electricity,52.563
2021-05-23T15:00:00+02:00,Cooling,18.5
2021-05-23T15:00:00+02:00,Heating,6
2021-05-23T16:00:00+02:00,Ventilation,6.875
2021-05-23T16:00:00+02:00,Sokets plug,15.563
2021-05-23T16:00:00+02:00,Lighting,6.375
2021-05-23T16:00:00+02:00,Other electricity,67.063
2021-05-23T16:00:00+02:00,Cooling,18.125
2021-05-23T16:00:00+02:00,Heating,6
2021-05-23T17:00:00+02:00,Ventilation,8.125
2021-05-23T17:00:00+02:00,Sokets plug,21.25
2021-05-23T17:00:00+02:00,Lighting,8.438
2021-05-23T17:00:00+02:00,Other electricity,59.813
2021-05-23T17:00:00+02:00,Cooling,20.875
2021-05-23T17:00:00+02:00,Heating,6.5
2021-05-23T18:00:00+02:00,Ventilation,8.625
2021-05-23T18:00:00+02:00,Sokets plug,16.875
2021-05-23T18:00:00+02:00,Lighting,7.5
2021-05-23T18:00:00+02:00,Other electricity,59.25
2021-05-23T18:00:00+02:00,Cooling,20.75
2021-05-23T18:00:00+02:00,Heating,6.5
2021-05-23T19:00:00+02:00,Ventilation,7.5
2021-05-23T19:00:00+02:00,Sokets plug,17.313
2021-05-23T19:00:00+02:00,Lighting,6.813
2021-05-23T19:00:00+02:00,Other electricity,68.875
2021-05-23T19:00:00+02:00,Cooling,18
2021-05-23T19:00:00+02:00,Heating,6
2021-05-23T20:00:00+02:00,Ventilation,8
2021-05-23T20:00:00+02:00,Sokets plug,19.813
2021-05-23T20:00:00+02:00,Lighting,8.125
2021-05-23T20:00:00+02:00,Other electricity,77.438
2021-05-23T20:00:00+02:00,Cooling,20.625
2021-05-23T20:00:00+02:00,Heating,89.25
2021-05-23T21:00:00+02:00,Ventilation,9.375
2021-05-23T21:00:00+02:00,Sokets plug,18.188
2021-05-23T21:00:00+02:00,Lighting,6.563
2021-05-23T21:00:00+02:00,Other electricity,61.625
2021-05-23T21:00:00+02:00,Cooling,26.75
2021-05-23T21:00:00+02:00,Heating,22.75
2021-05-23T22:00:00+02:00,Ventilation,7.125
2021-05-23T22:00:00+02:00,Sokets plug,12.688
2021-05-23T22:00:00+02:00,Lighting,7.125
2021-05-23T22:00:00+02:00,Other electricity,77.563
2021-05-23T22:00:00+02:00,Cooling,16
2021-05-23T22:00:00+02:00,Heating,6
2021-05-23T23:00:00+02:00,Ventilation,9.625
2021-05-23T23:00:00+02:00,Sokets plug,17.75
2021-05-23T23:00:00+02:00,Lighting,7.375
2021-05-23T23:00:00+02:00,Other electricity,68.75
2021-05-23T23:00:00+02:00,Cooling,22.5
2021-05-23T23:00:00+02:00,Heating,6.75
2021-05-24T00:00:00+02:00,Ventilation,8.125
2021-05-24T00:00:00+02:00,Sokets plug,13.938
2021-05-24T00:00:00+02:00,Lighting,6.75
2021-05-24T00:00:00+02:00,Other electricity,74.25
2021-05-24T00:00:00+02:00,Cooling,25.438
2021-05-24T00:00:00+02:00,Heating,6
2021-05-24T01:00:00+02:00,Ventilation,5.375
2021-05-24T01:00:00+02:00,Sokets plug,9.5
2021-05-24T01:00:00+02:00,Lighting,7.438
2021-05-24T01:00:00+02:00,Other electricity,79.125
2021-05-24T01:00:00+02:00,Cooling,16.563
2021-05-24T01:00:00+02:00,Heating,6.25
2021-05-24T02:00:00+02:00,Ventilation,9.125
2021-05-24T02:00:00+02:00,Sokets plug,14.5
2021-05-24T02:00:00+02:00,Lighting,8.063
2021-05-24T02:00:00+02:00,Other electricity,65.313
2021-05-24T02:00:00+02:00,Cooling,21.5
2021-05-24T02:00:00+02:00,Heating,6.25
2021-05-24T03:00:00+02:00,Ventilation,6.25
2021-05-24T03:00:00+02:00,Sokets plug,11.438
2021-05-24T03:00:00+02:00,Lighting,7.5
2021-05-24T03:00:00+02:00,Other electricity,78.813
2021-05-24T03:00:00+02:00,Cooling,20.5
2021-05-24T03:00:00+02:00,Heating,7.5
2021-05-24T04:00:00+02:00,Ventilation,9.75
2021-05-24T04:00:00+02:00,Sokets plug,9
2021-05-24T04:00:00+02:00,Lighting,5.375
2021-05-24T04:00:00+02:00,Other electricity,76.5
2021-05-24T04:00:00+02:00,Cooling,19.375
2021-05-24T04:00:00+02:00,Heating,5.5
2021-05-24T05:00:00+02:00,Ventilation,5.25
2021-05-24T05:00:00+02:00,Sokets plug,14.063
2021-05-24T05:00:00+02:00,Lighting,8.375
2021-05-24T05:00:00+02:00,Other electricity,72.563
2021-05-24T05:00:00+02:00,Cooling,18.25
2021-05-24T05:00:00+02:00,Heating,5.75
2021-05-24T06:00:00+02:00,Ventilation,9
2021-05-24T06:00:00+02:00,Sokets plug,13.125
2021-05-24T06:00:00+02:00,Lighting,6.563
2021-05-24T06:00:00+02:00,Other electricity,76.563
2021-05-24T06:00:00+02:00,Cooling,22.75
2021-05-24T06:00:00+02:00,Heating,6
2021-05-24T07:00:00+02:00,Ventilation,9.375
2021-05-24T07:00:00+02:00,Sokets plug,10.563
2021-05-24T07:00:00+02:00,Lighting,6.313
2021-05-24T07:00:00+02:00,Other electricity,73.5
2021-05-24T07:00:00+02:00,Cooling,23.75
2021-05-24T07:00:00+02:00,Heating,6
2021-05-24T08:00:00+02:00,Ventilation,8.125
2021-05-24T08:00:00+02:00,Sokets plug,11.875
2021-05-24T08:00:00+02:00,Lighting,12.75
2021-05-24T08:00:00+02:00,Other electricity,69.75
2021-05-24T08:00:00+02:00,Cooling,17.5
2021-05-24T08:00:00+02:00,Heating,56
2021-05-24T09:00:00+02:00,Ventilation,10.5
2021-05-24T09:00:00+02:00,Sokets plug,12.813
2021-05-24T09:00:00+02:00,Lighting,13.063
2021-05-24T09:00:00+02:00,Other electricity,67.875
2021-05-24T09:00:00+02:00,Cooling,17.25
2021-05-24T09:00:00+02:00,Heating,56.5
2021-05-24T10:00:00+02:00,Ventilation,7.5
2021-05-24T10:00:00+02:00,Sokets plug,13.563
2021-05-24T10:00:00+02:00,Lighting,12
2021-05-24T10:00:00+02:00,Other electricity,85.313
2021-05-24T10:00:00+02:00,Cooling,21.125
2021-05-24T10:00:00+02:00,Heating,6.25
2021-05-24T11:00:00+02:00,Ventilation,7.75
2021-05-24T11:00:00+02:00,Sokets plug,20
2021-05-24T11:00:00+02:00,Lighting,15
2021-05-24T11:00:00+02:00,Other electricity,64.25
2021-05-24T11:00:00+02:00,Cooling,23
2021-05-24T11:00:00+02:00,Heating,6
2021-05-24T12:00:00+02:00,Ventilation,9.5
2021-05-24T12:00:00+02:00,Sokets plug,17.5
2021-05-24T12:00:00+02:00,Lighting,14.313
2021-05-24T12:00:00+02:00,Other electricity,66.438
2021-05-24T12:00:00+02:00,Cooling,17.25
2021-05-24T12:00:00+02:00,Heating,6.25
2021-05-24T13:00:00+02:00,Ventilation,6.75
2021-05-24T13:00:00+02:00,Sokets plug,14.5
2021-05-24T13:00:00+02:00,Lighting,13.438
2021-05-24T13:00:00+02:00,Other electricity,78
2021-05-24T13:00:00+02:00,Cooling,16.313
2021-05-24T13:00:00+02:00,Heating,6
2021-05-24T14:00:00+02:00,Ventilation,6.625
2021-05-24T14:00:00+02:00,Sokets plug,22.375
2021-05-24T14:00:00+02:00,Lighting,15.938
2021-05-24T14:00:00+02:00,Other electricity,57.75
2021-05-24T14:00:00+02:00,Cooling,24.813
2021-05-24T14:00:00+02:00,Heating,6
2021-05-24T15:00:00+02:00,Ventilation,9
2021-05-24T15:00:00+02:00,Sokets plug,15.188
2021-05-24T15:00:00+02:00,Lighting,14.438
2021-05-24T15:00:00+02:00,Other electricity,61.125
2021-05-24T15:00:00+02:00,Cooling,17.25
2021-05-24T15:00:00+02:00,Heating,6.5
2021-05-24T16:00:00+02:00,Ventilation,8.875
2021-05-24T16:00:00+02:00,Sokets plug,16.563
2021-05-24T16:00:00+02:00,Lighting,14.375
2021-05-24T16:00:00+02:00,Other electricity,64.438
2021-05-24T16:00:00+02:00,Cooling,17.75
2021-05-24T16:00:00+02:00,Heating,6.5
2021-05-24T17:00:00+02:00,Ventilation,3.75
2021-05-24T17:00:00+02:00,Sokets plug,18.063
2021-05-24T17:00:00+02:00,Lighting,16.188
2021-05-24T17:00:00+02:00,Other electricity,70.75
2021-05-24T17:00:00+02:00,Cooling,18.25
2021-05-24T17:00:00+02:00,Heating,6
2021-05-24T18:00:00+02:00,Ventilation,4.375
2021-05-24T18:00:00+02:00,Sokets plug,16.75
2021-05-24T18:00:00+02:00,Lighting,13.625
2021-05-24T18:00:00+02:00,Other electricity,74.625
2021-05-24T18:00:00+02:00,Cooling,18.125
2021-05-24T18:00:00+02:00,Heating,6
2021-05-24T19:00:00+02:00,Ventilation,5.625
2021-05-24T19:00:00+02:00,Sokets plug,21.188
2021-05-24T19:00:00+02:00,Lighting,13.375
2021-05-24T19:00:00+02:00,Other electricity,59.438
2021-05-24T19:00:00+02:00,Cooling,25.375
2021-05-24T19:00:00+02:00,Heating,6.25
2021-05-24T20:00:00+02:00,Ventilation,17.125
2021-05-24T20:00:00+02:00,Sokets plug,19.125
2021-05-24T20:00:00+02:00,Lighting,14.75
2021-05-24T20:00:00+02:00,Other electricity,67.75
2021-05-24T20:00:00+02:00,Cooling,23.75
2021-05-24T20:00:00+02:00,Heating,39
2021-05-24T21:00:00+02:00,Ventilation,8.25
2021-05-24T21:00:00+02:00,Sokets plug,17.438
2021-05-24T21:00:00+02:00,Lighting,14.75
2021-05-24T21:00:00+02:00,Other electricity,74.438
2021-05-24T21:00:00+02:00,Cooling,17.125
2021-05-24T21:00:00+02:00,Heating,73
2021-05-24T22:00:00+02:00,Ventilation,8.125
2021-05-24T22:00:00+02:00,Sokets plug,14.563
2021-05-24T22:00:00+02:00,Lighting,12.375
2021-05-24T22:00:00+02:00,Other electricity,73.438
2021-05-24T22:00:00+02:00,Cooling,15.5
2021-05-24T22:00:00+02:00,Heating,6.5
2021-05-24T23:00:00+02:00,Ventilation,10.75
2021-05-24T23:00:00+02:00,Sokets plug,15.125
2021-05-24T23:00:00+02:00,Lighting,8.688
2021-05-24T23:00:00+02:00,Other electricity,64.063
2021-05-24T23:00:00+02:00,Cooling,23.875
2021-05-24T23:00:00+02:00,Heating,7.25
2021-05-25T00:00:00+02:00,Ventilation,8.875
2021-05-25T00:00:00+02:00,Sokets plug,11.938
2021-05-25T00:00:00+02:00,Lighting,8
2021-05-25T00:00:00+02:00,Other electricity,72.688
2021-05-25T00:00:00+02:00,Cooling,29.5
2021-05-25T00:00:00+02:00,Heating,5
2021-05-25T01:00:00+02:00,Ventilation,6
2021-05-25T01:00:00+02:00,Sokets plug,12
2021-05-25T01:00:00+02:00,Lighting,5.875
2021-05-25T01:00:00+02:00,Other electricity,77.375
2021-05-25T01:00:00+02:00,Cooling,16.25
2021-05-25T01:00:00+02:00,Heating,6
